lucode,code,nlcd,LULC_name,notes,nlud_simple,nlud_simple_class,nlud_simple_subclass,fertilizer,pesticide,irrigation,planting_diversity,mowing,public_access,green_space,building_type,tree,tree_canopy_percentage,tree_canopy_cover,tree_canopy_colors,c_above,c_below,c_soil,c_dead,c_embedded_storage,c_embedded_emissions,c_annual_emissions
0,1000,0,Background,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,0,0,0,0,0,0,0
1,1001,0,Background,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,14.16699743,0,15.56798855,1.6,0,0,0
2,1002,0,Background,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,37.7786598,0,41.51463613,4.266666667,0,0,0
3,1003,0,Background,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,62.33478868,0,68.49914961,7.04,0,0,0
4,1110,11,Open Water,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,0,0,0,0,0,0,0
5,1111,11,Open Water,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,14.16699743,0,15.56798855,1.6,0,0,0
6,1112,11,Open Water,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,37.7786598,0,41.51463613,4.266666667,0,0,0
7,1113,11,Open Water,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,62.33478868,0,68.49914961,7.04,0,0,0
8,1120,12,Perennial Ice/Snow,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,0,0,0,0,0,0,0
9,1121,12,Perennial Ice/Snow,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,14.16699743,0,15.56798855,1.6,0,0,0
10,1122,12,Perennial Ice/Snow,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,37.7786598,0,41.51463613,4.266666667,0,0,0
11,1123,12,Perennial Ice/Snow,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,62.33478868,0,68.49914961,7.04,0,0,0
12,1210,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,25.49986095,4.08,79.01411479,1.76,51.81402439,212.31,37.03522039
13,1211,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,35.84187923,3.468,82.72998612,3.096,51.81402439,212.31,37.03522039
14,1212,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,53.07857637,2.448,88.923105,5.322666667,51.81402439,212.31,37.03522039
15,1213,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,71.0047414,1.3872,95.36394864,7.6384,51.81402439,212.31,37.03522039
16,1220,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,20.90844667,3.52,72.06732319,0.61,207.2560976,849.24,147.1338816
17,1221,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,31.9391771,2.992,76.82521326,2.1185,207.2560976,849.24,147.1338816
18,1222,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,50.32372781,2.112,84.75503004,4.632666667,207.2560976,849.24,147.1338816
19,1223,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,69.44366054,1.1968,93.0020395,7.2474,207.2560976,849.24,147.1338816
20,1230,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,17.69813636,3.08,61.93838294,0.36,234.070122,954.85,720.4716833
21,1231,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,29.21041333,2.618,68.21561405,1.906,234.070122,954.85,720.4716833
22,1232,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,48.39754162,1.848,78.67766589,4.482666667,234.070122,954.85,720.4716833
23,1233,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,68.35215504,1.0472,89.55819981,7.1624,234.070122,954.85,720.4716833
24,1240,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,10.98142029,1.76,44.78642515,0.245,267.9065041,3418.485,1805.616283
25,1241,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,23.50120467,1.496,53.63644993,1.80825,267.9065041,3418.485,1805.616283
26,1242,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,44.36751198,1.056,68.38649122,4.413666667,267.9065041,3418.485,1805.616283
27,1243,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,66.06847158,0.5984,83.72653416,7.1233,267.9065041,3418.485,1805.616283
28,1310,31,Barren Land,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,6.8,0,25.5,0,0,0,0
29,1311,31,Barren Land,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,19.94699743,0,37.24298855,1.6,0,0,0
30,1312,31,Barren Land,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,41.8586598,0,56.81463613,4.266666667,0,0,0
31,1313,31,Barren Land,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,64.64678868,0,77.16914961,7.04,0,0,0
32,1410,41,Deciduous Forest,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,85.88498714,0,96.08994273,8.8,0,0,0
33,1411,41,Deciduous Forest,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,85.88498714,0,96.08994273,8.8,0,0,0
34,1412,41,Deciduous Forest,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,85.88498714,0,96.08994273,8.8,0,0,0
35,1413,41,Deciduous Forest,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,85.88498714,0,96.08994273,8.8,0,0,0
36,1420,42,Evergreen Forest,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,105.6849871,0,96.08994273,14.4,0,0,0
37,1421,42,Evergreen Forest,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,105.6849871,0,96.08994273,14.4,0,0,0
38,1422,42,Evergreen Forest,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,105.6849871,0,96.08994273,14.4,0,0,0
39,1423,42,Evergreen Forest,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,105.6849871,0,96.08994273,14.4,0,0,0
40,1430,43,Mixed Forest,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,91.76997429,0,119.1798855,8.8,0,0,0
41,1431,43,Mixed Forest,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,91.76997429,0,119.1798855,8.8,0,0,0
42,1432,43,Mixed Forest,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,91.76997429,0,119.1798855,8.8,0,0,0
43,1433,43,Mixed Forest,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,91.76997429,0,119.1798855,8.8,0,0,0
44,1520,52,Shrub/Scrub,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,47.875,0,68.15477645,0,0,0,0
45,1521,52,Shrub/Scrub,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,54.86074743,0,73.49954853,1.6,0,0,0
46,1522,52,Shrub/Scrub,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,66.5036598,0,82.407502,4.266666667,0,0,0
47,1523,52,Shrub/Scrub,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,78.61228868,0,91.6717736,7.04,0,0,0
48,1710,71,Herbaceuous,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,10.10660117,8,98.79264417,0,0,0,0
49,1711,71,Herbaceuous,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,22.75760842,6.8,99.54173609,1.6,0,0,0
50,1712,71,Herbaceuous,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,43.84262051,4.8,100.7902226,4.266666667,0,0,0
51,1713,71,Herbaceuous,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,65.77103307,2.72,102.0886486,7.04,0,0,0
52,1810,81,Hay/Pasture,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,10.10660117,8,98.79264417,0,0,0,0
53,1811,81,Hay/Pasture,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,22.75760842,6.8,99.54173609,1.6,0,0,0
54,1812,81,Hay/Pasture,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,43.84262051,4.8,100.7902226,4.266666667,0,0,0
